Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844448338.24,20.0002641677856,-3269.22607421875,-0.0901138839370499,4.30316615952057E-5
3844448343.128,19.9996385574341,-3196.28637695313,-0.0880545628361155,4.18297184214667E-5
3844448348.1485,19.9993438720703,-3121.33154296875,-0.0860135983608021,4.24521397559614E-5
3844448353.2075,19.9996843338013,-3044.97192382812,-0.0839573123474518,4.12259204174656E-5
3844448358.1245,20.0001058578491,-2971.46350097656,-0.0818922217261123,4.21477711692371E-5
3844448363.158,20.000340461731,-2895.755859375,-0.0798532923028558,4.29446215911617E-5
3844448368.1445,19.9999532699585,-2821.61560058594,-0.0778012683726447,4.23219335176263E-5
3844448373.1175,19.999828338623,-2746.74096679687,-0.0757479893272695,4.19958016747411E-5
3844448378.2205,20.0000038146973,-2670.23571777344,-0.0736879322058995,4.23442673991378E-5
3844448383.1475,19.9998092651367,-2595.86926269531,-0.0716398158632868,4.23642674324182E-5
3844448388.176,19.9994812011719,-2520.77612304687,-0.0695668449856186,4.24253048836305E-5
3844448393.0655,19.9994707107544,-2447.39904785156,-0.067513548040538,4.24493689661949E-5
3844448398.18,20.0004596710205,-2370.90832519531,-0.0654696806842695,4.16806047857551E-5
3844448403.001,20.0011148452759,-2298.86560058594,-0.0634257268166244,4.2274693153168E-5
3844448407.9965,20.0005445480347,-2223.83959960938,-0.061371552635352,4.23116740816553E-5
3844448413.084,20.0001821517944,-2147.46801757813,-0.0593135747725109,4.19414864744555E-5
3844448418.031,19.9999370574951,-2072.56799316406,-0.0572718797322147,4.25634957747347E-5
3844448423.135,20.0001525878906,-1996.71813964844,-0.0552224937405175,4.20521923149036E-5
3844448427.9935,20.0002212524414,-1923.13757324219,-0.0531789648956407,4.22906368831048E-5
3844448432.99,19.9997720718384,-1848.91149902344,-0.0511168984728276,4.26433957889299E-5
3844448438.0355,19.9998540878296,-1772.47912597656,-0.0490599768974962,4.20974414542074E-5
3844448442.994,19.9999780654907,-1698.28387451172,-0.0470008715436203,4.19184189219469E-5
3844448448.1605,20.0001993179321,-1621.08587646484,-0.0449441698434352,4.28032713924617E-5
3844448453.074,20.0004243850708,-1547.53503417969,-0.0428881623091721,4.24335669915753E-5
3844448457.988,19.9999141693115,-1474.09399414062,-0.0408465502066549,4.20711666241115E-5
3844448463.032,19.9995698928833,-1398.57055664062,-0.038797457309914,4.1920738561945E-5
3844448467.957,20.0000562667847,-1324.44689941406,-0.0367428414380211,4.19459499274871E-5
3844448481.0065,19.9988899230957,-1129.80822753906,-0.0326386837892933,4.15825535165718E-5
3844448483.2815,19.9992275238037,-1095.27526855469,-0.030589970931314,4.19023633877405E-5
3844448488.0945,19.9998559951782,-1022.51351928711,-0.028536962855326,4.17551680327169E-5
3844448493.047,20.0002298355103,-949.032867431641,-0.0264867188558254,4.18072989685566E-5
3844448497.965,20.0000333786011,-874.875640869141,-0.0244341997009066,4.19121487488705E-5
3844448503.007,19.9999074935913,-799.176361083984,-0.0223816136871477,4.1796820682422E-5
3844448507.9985,20.0002717971802,-724.933532714844,-0.0203348475291799,4.17783011089303E-5
3844448512.9085,20.0007429122925,-650.617156982422,-0.018280808388679,4.22472316504384E-5
3844448517.93,20.0003747940063,-574.679870605469,-0.0162196080931149,4.18851665052934E-5
3844448523.0215,19.9998741149902,-499.050369262695,-0.0141722836775009,4.18078158741165E-5
3844448527.9075,19.9999055862427,-425.713363647461,-0.0121199861438561,4.17528142805375E-5
3844448532.9195,19.9996089935303,-350.715911865234,-0.0100707945715862,4.19322748141084E-5
3844448537.921,19.9997987747192,-275.769470214844,-0.00801500760819139,4.20368826152384E-5
3844448542.905,19.9998579025269,-200.817398071289,-0.00596027480914084,4.18925302059496E-5
3844448547.93,19.9998712539673,-125.847534179688,-0.00390560110494344,4.19971482794012E-5
3844448553.006,20.0003128051758,-49.4747591018677,-0.00184937693727358,4.19854210742948E-5
3844448565.967,19.999719619751,144.673034667969,0.00227551252551258,4.2079574137943E-5
3844448568.258,20.0000171661377,179.201995849609,0.00433819784850983,4.21108427933787E-5
3844448572.9265,20.0001449584961,248.866409301758,0.00639859920981704,4.19970605280528E-5
3844448577.868,20.0002250671387,323.115112304687,0.00845536636228884,4.19393055597445E-5
3844448582.925,20.0004482269287,398.778594970703,0.0105167030918168,4.19030111860846E-5
3844448596.1345,20.0000114440918,597.434326171875,0.0146396522443507,4.20013899830699E-5
3844448598.3425,20.0003671646118,630.620025634766,0.0166953033613661,4.19827275438543E-5
3844448602.882,20.000358581543,699.047882080078,0.0187653608003904,4.23073785861261E-5
3844448607.838,19.9997320175171,773.333740234375,0.020828681097039,4.18288998087117E-5
3844448612.841,19.9994020462036,847.521820068359,0.0228890285270474,4.20412233314819E-5
3844448617.9135,19.9994974136353,923.956512451172,0.0249409969428264,4.21155385756865E-5
3844448622.8495,19.9999227523804,998.166168212891,0.0269986020002112,4.20069115115828E-5
3844448627.924,20.0004386901855,1074.59564208984,0.0290636445875147,4.19352860517409E-5
3844448632.825,20.0000352859497,1147.32055664062,0.0311228342316633,4.24773355100181E-5
3844448637.9145,20.00013256073,1224.56921386719,0.0331874452833578,4.22558073538402E-5
