Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844459740.728,39.9751594370731,0.213336005806923,,
3844459809.6885,39.9805793762207,-4877.31982421875,-0.0845320074290054,0.000130062462180272
3844459825.2055,39.9824275970459,-4978.03564453125,-0.0876365922144231,1.4468833937255E-5
3844459829.529,39.9819431304932,-4917.49365234375,-0.0866111057650721,2.67155389168591E-5
3844459834.597,39.9819869995117,-4842.00024414063,-0.0852992688147687,2.76020092876811E-5
3844459839.5105,39.9823436737061,-4767.82470703125,-0.0839924158517913,2.85325796363546E-5
3844459844.602,39.9829025268555,-4692.17016601562,-0.0826786091878111,2.8231751179103E-5
3844459849.5725,39.9838256835937,-4617.17553710937,-0.0813484963810934,2.7316927792158E-5
3844459854.4905,39.9838733673096,-4543.47973632812,-0.0800165400867326,2.78058440140522E-5
3844459859.5595,39.9842872619629,-4466.89770507812,-0.0787065055295983,2.78926697508562E-5
3844459864.6125,39.9853591918945,-4391.2431640625,-0.0773824332400346,2.82541623464006E-5
3844459869.6255,39.9863739013672,-4315.55883789063,-0.0760762912351076,2.92021983408385E-5
3844459874.544,39.9872932434082,-4242.08959960937,-0.0747531101899464,2.80403725671935E-5
3844459879.488,39.987133026123,-4168.67724609375,-0.0734219145727309,2.69384951688251E-5
3844459884.4975,39.9866809844971,-4093.76489257812,-0.0721150566762262,2.76228327626937E-5
3844459889.5485,39.9867610931396,-4017.40673828125,-0.0707988571151447,2.78514552477187E-5
3844459894.4795,39.9866714477539,-3943.96508789063,-0.0694859959264262,2.8171383861123E-5
3844459899.578,39.9868278503418,-3866.80407714844,-0.0681724560877911,2.76472712841926E-5
3844459904.513,39.9870071411133,-3792.61279296875,-0.066859768147098,2.76168994491749E-5
3844459909.4825,39.9882106781006,-3718.52478027344,-0.065540932864619,2.77851273165733E-5
3844459914.498,39.9892158508301,-3643.54724121094,-0.0642186786972699,2.74587822985079E-5
3844459919.463,39.9893188476562,-3569.29113769531,-0.0629120755434388,2.75172006288735E-5
3844459924.4725,39.9890117645264,-3494.50012207031,-0.0615961633045454,2.72235726077413E-5
3844459929.52,39.988956451416,-3417.97351074219,-0.0602842273740517,2.75514931790532E-5
