Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844424925.525,4.9939536510594,-0.0711120069026947,,
3844425000.4465,4.99552798271179,-5000.32934570313,-0.243836046470062,3.64106761374803E-5
3844425016.2825,4.99700617790222,-4980.14965820313,-0.244250488105762,3.12528001806704E-5
3844425020.4345,4.99777102470398,-4923.39038085937,-0.2416351418392,7.62007381308487E-5
3844425025.4955,5.00026845932007,-4847.14404296875,-0.23805784903893,7.82862534964742E-5
3844425030.408,5.00067019462585,-4773.81665039063,-0.234428525917639,7.72902098016793E-5
3844425035.428,4.99981832504272,-4698.12084960937,-0.230831321336623,7.33583618073533E-5
3844425040.4855,5.00213551521301,-4622.49658203125,-0.227258133142028,7.97814469032288E-5
3844425045.4545,5.00289154052734,-4548.09619140625,-0.22354334103646,7.51177704164023E-5
3844425050.3965,4.99912214279175,-4473.66943359375,-0.2199235828396,7.41380431156896E-5
3844425055.4535,4.99978041648865,-4397.326171875,-0.216295319413953,7.86496827639357E-5
3844425060.3485,4.99799418449402,-4324.60205078125,-0.212677881887511,7.36909325567303E-5
3844425065.3575,4.99678802490234,-4248.88305664063,-0.209057298645664,7.77658804011723E-5
3844425070.385,4.99793195724487,-4173.9873046875,-0.205415254337616,7.76360267041256E-5
3844425075.371,4.9992344379425,-4099.0419921875,-0.201819249006137,7.79018958312241E-5
3844425080.386,5.00231409072876,-4024.19750976562,-0.198096390854629,7.64877524975239E-5
3844425085.3305,5.00142598152161,-3950.10681152344,-0.194454627712772,7.53813748905079E-5
3844425090.4385,4.99947047233582,-3873.673828125,-0.19085126739303,7.42898801514867E-5
3844425095.458,4.99934315681458,-3798.68591308594,-0.18719849208172,7.58406799462935E-5
3844425100.3305,5.00040006637573,-3725.99060058594,-0.183538474349022,7.78907946099528E-5
3844425105.3845,4.99876618385315,-3649.6181640625,-0.179931406252598,7.49911301035264E-5
3844425110.331,5.00105905532837,-3575.30163574219,-0.176244287385668,7.51732286211295E-5
3844425115.3905,5.00040650367737,-3499.59777832031,-0.17260939320318,7.6779414131477E-5
3844425120.303,4.99983811378479,-3426.19067382812,-0.168972356882608,7.64938509490779E-5
3844425125.312,4.99959254264832,-3350.52844238281,-0.165353575151851,7.7978198258447E-5
3844425130.408,4.99825596809387,-3273.89331054687,-0.161645242436693,7.66131858282584E-5
3844425135.3005,5.00086522102356,-3200.97375488281,-0.158011027050224,7.65864560976617E-5
3844425140.287,5.00183820724487,-3126.02514648438,-0.154334497770633,7.55505435651212E-5
3844425145.281,5.00127625465393,-3051.11779785156,-0.150674442920055,7.47893258422919E-5
3844425150.2665,5.00282692909241,-2976.06640625,-0.147013644287768,7.68250021935166E-5
3844425155.2705,5.0009925365448,-2901.83093261719,-0.143369051619888,7.47209658043014E-5
3844425160.413,4.99783968925476,-2824.66369628906,-0.139700071240056,7.68588112672638E-5
3844425165.333,5.00164937973022,-2750.50061035156,-0.136018859951859,7.76250686987673E-5
3844425170.258,5.00188970565796,-2676.25610351562,-0.132361207469019,7.59462413123307E-5
3844425175.4115,4.9996178150177,-2598.94750976562,-0.128702750894442,7.55969743463238E-5
3844425180.332,5.00096344947815,-2525.36877441406,-0.124987541413917,7.65183612856125E-5
3844425185.398,5.00258946418762,-2449.85095214844,-0.12136880016102,7.57872216102275E-5
3844425190.4075,5.00240278244019,-2374.85729980469,-0.117697628582179,7.49281584032187E-5
3844425195.2745,5.00030970573425,-2301.24914550781,-0.114025528328997,7.61041087178673E-5
3844425200.2415,4.99901962280273,-2227.09155273438,-0.110350320078102,7.47510934866749E-5
