Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844436424.946,9.98420700589194,-0.160002008080482,,
3844436496.921,9.9980616569519,-4949.22534179687,-0.187963745159629,0.000171361477959214
3844436512.558,9.99929285049438,-4979.96655273438,-0.190774551565362,2.7190958446609E-5
3844436516.821,9.99908685684204,-4922.47216796875,-0.188675743585985,5.71143421828113E-5
3844436521.9025,9.99767637252808,-4846.90625,-0.185867290791306,6.00377492002928E-5
3844436526.937,9.99687051773071,-4770.58325195313,-0.183033143383941,6.13137684547558E-5
3844436531.85,9.99760627746582,-4697.88549804687,-0.180150848449378,6.1830899717943E-5
3844436536.879,9.99917888641357,-4621.54663085937,-0.177280323090426,6.11509196716237E-5
3844436541.8135,10.0000691413879,-4548.72119140625,-0.17442580539363,6.24478445457847E-5
3844436546.7945,9.99969959259033,-4473.53930664063,-0.171560364028479,6.08144301584119E-5
3844436551.851,9.99893236160278,-4397.12329101562,-0.168678995507092,5.95539137253376E-5
3844436556.9725,9.99839687347412,-4320.74438476562,-0.165859556847128,6.07333808134374E-5
3844436561.8045,9.99770975112915,-4247.98486328125,-0.16296992915818,5.83314720731172E-5
3844436566.956,9.99846887588501,-4170.72314453125,-0.160120169690827,5.91016970011511E-5
3844436571.845,9.99955654144287,-4097.29187011719,-0.157271659727186,5.96344397596865E-5
3844436577.0065,9.99916696548462,-4020.06176757812,-0.154416900708452,6.0111464954097E-5
3844436581.8815,9.99986457824707,-3947.49340820313,-0.151531776151502,6.01047826593345E-5
3844436586.7735,10.0000586509705,-3874.14611816406,-0.148729111697251,5.91467187406562E-5
3844436591.9105,10.0001339912415,-3796.8876953125,-0.145838050273036,5.87808296932399E-5
3844436596.772,9.99984121322632,-3724.28039550781,-0.14299220614973,5.82191154964385E-5
3844436601.886,9.99889087677002,-3647.87341308594,-0.140136571529985,5.81983368023311E-5
3844436606.7875,9.99915552139282,-3574.40649414063,-0.137290823218772,6.03689051560433E-5
3844436611.796,9.99981021881103,-3498.68737792969,-0.134410841826089,5.96561417672843E-5
3844436616.8495,10.00022315979,-3422.93627929687,-0.131547881805536,6.12714546017713E-5
3844436621.7435,10.0004086494446,-3350.34045410156,-0.128686741520647,5.92594679042669E-5
3844436626.787,10.0001382827759,-3274.36474609375,-0.125856562628346,6.0302595201073E-5
3844436631.79,10.0002541542053,-3199.30810546875,-0.122946177986743,5.91908942885089E-5
