Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844471374.843,59.9300667173524,0.24889200925827,,
3844471445.877,59.9542675018311,-4957.3291015625,-0.0637747711714688,4.85339599746028E-5
3844471461.659,59.9576015472412,-4980.20166015625,-0.0645034310167091,9.51318694092293E-6
3844471466.0135,59.9587650299072,-4921.10815429687,-0.0637912611955678,2.03603576834564E-5
3844471470.8685,59.9604625701904,-4849.3046875,-0.06282628815691,2.04529537015051E-5
3844471475.9945,59.9619445800781,-4772.13891601562,-0.0618659278158963,2.1174190051927E-5
3844471480.9005,59.9623641967773,-4698.73388671875,-0.0608911627014596,2.05419258352363E-5
3844471486.0685,59.962703704834,-4620.80395507812,-0.0599008186232581,2.04582715129922E-5
3844471490.905,59.9635543823242,-4548.61254882812,-0.0589263211782697,2.07570315147351E-5
3844471495.9765,59.9648571014404,-4472.10522460937,-0.0579512247764986,2.08104143441333E-5
3844471500.925,59.9655704498291,-4397.97924804687,-0.0569804688941857,2.06699979505237E-5
3844471505.838,59.9662055969238,-4323.79272460937,-0.0560136426779529,2.00549438307612E-5
3844471510.841,59.9672241210937,-4249.57202148438,-0.0550422111459076,1.99505248352957E-5
3844471515.9285,59.9681015014648,-4173.1279296875,-0.0540667455478554,2.00967081315407E-5
3844471520.852,59.9683322906494,-4099.64147949219,-0.0531042176210799,2.04754883261518E-5
3844471525.8285,59.9687595367432,-4024.69982910156,-0.0521341961041261,2.01710306921965E-5
3844471530.8475,59.9700946807861,-3949.90087890625,-0.0511628351972694,2.0760323452096E-5
3844471535.972,59.9712314605713,-3872.84143066406,-0.0501957680176545,2.04628062830433E-5
3844471540.864,59.9726123809814,-3799.44689941406,-0.0492275850877272,2.0696650355892E-5
3844471545.924,59.9741897583008,-3723.65087890625,-0.0482572421407366,2.04541472965987E-5
3844471550.9475,59.9745903015137,-3648.00207519531,-0.0472896512433746,1.99738651126939E-5
3844471555.8045,59.9751110076904,-3575.27062988281,-0.0463112104186602,2.02214555767625E-5
3844471560.804,59.9758224487305,-3500.29309082031,-0.045348088000334,2.02201185592352E-5
3844471565.8065,59.9761333465576,-3426.10302734375,-0.0443808211186527,2.0267720237195E-5
3844471570.947,59.976167678833,-3348.10998535156,-0.0434133379102979,2.01669095293933E-5
3844471575.8335,59.9760570526123,-3275.21411132812,-0.0424385048242039,2.01796626077688E-5
3844471580.964,59.9765300750732,-3197.87841796875,-0.0414689869470412,2.00495104908343E-5
3844471585.9135,59.9776458740234,-3123.71472167969,-0.0405043347380505,2.02486684018001E-5
3844471590.831,59.9782733917236,-3050.24291992188,-0.0395271478328028,2.01061114835669E-5
3844471595.798,59.9788932800293,-2975.30627441406,-0.0385671493714803,2.00639704073487E-5
3844471600.8485,59.9800758361816,-2900.38354492188,-0.0375926978480745,2.01845070951012E-5
3844471605.801,59.9810028076172,-2826.10803222656,-0.0366276275934657,2.00379787921779E-5
3844471610.78,59.9815063476563,-2750.42468261719,-0.0356624450141624,2.04328173713009E-5
3844471615.826,59.9813938140869,-2675.44213867187,-0.034691809689258,2.04740794221309E-5
3844471620.9055,59.9816265106201,-2599.54406738281,-0.0337251087490143,2.01434484268833E-5
3844471625.7755,59.9827404022217,-2525.98034667969,-0.0327519022366753,2.02669414893557E-5
3844471630.7605,59.9832096099854,-2451.08374023438,-0.0317922618445728,2.04540774822348E-5
3844471635.865,59.9840106964111,-2374.63195800781,-0.0308233131261285,2.0061371137052E-5
3844471640.774,59.9842548370361,-2301.12976074219,-0.0298537859142,1.99912777549303E-5
3844471645.9065,59.9838733673096,-2223.90356445313,-0.0288844728730001,1.98682171552639E-5
3844471650.7445,59.9843425750732,-2152.07983398438,-0.0279222205891763,1.9793562520685E-5
3844471655.752,59.9851093292236,-2076.46563720703,-0.0269563634486538,2.01657221660863E-5
3844471660.786,59.9857444763184,-2001.33038330078,-0.025987708438998,1.99768502883853E-5
3844471665.733,59.9862003326416,-1926.90496826172,-0.0250168439917554,1.99688810899706E-5
3844471670.7215,59.9861564636231,-1851.91333007813,-0.0240572908317875,1.98749745718859E-5
3844471675.7305,59.9866275787353,-1776.23229980469,-0.0230877121467561,1.96788307007294E-5
