Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu)
3844414223.3795,3.00092709064484,5407.853515625,0.30230914892506,8.54193198976975E-5
3844414228.3895,2.99828720092773,5482.84228515625,0.306316986527474,8.39312958479663E-5
3844414233.422,2.99509274959564,5557.85400390625,0.310359662629508,8.80368014289365E-5
3844414238.515,3.00082409381866,5634.28002929687,0.314437206335312,8.77141474046947E-5
3844414243.4625,2.99636387825012,5708.50170898438,0.318429672016983,8.69562038477147E-5
3844414248.3845,2.99827146530151,5782.68725585938,0.322387154119952,8.06231730741687E-5
3844414253.5565,2.99566614627838,5860.09521484375,0.326360029694327,8.94656158479185E-5
3844414258.4455,2.99764358997345,5932.95483398438,0.330337864170581,8.91595614669793E-5
3844414263.36,3.00397229194641,6007.2724609375,0.334272152980144,7.98902975640284E-5
3844414268.3995,3.00520241260529,6082.80834960937,0.338209917726278,8.58033863985153E-5
3844414273.4645,3.00151634216309,6159.31518554687,0.342304412476118,8.91329930158744E-5
3844414278.3545,3.00014925003052,6232.775390625,0.346365367442958,8.63505495688509E-5
3844414283.3695,3.00146484375,6306.98510742188,0.350261014729484,8.67796095869367E-5
3844414288.3805,3.00206065177918,6382.04443359375,0.354127280666941,8.63764955550288E-5
3844414293.353,3.00376665592194,6456.84887695313,0.358171387870869,8.70379380942828E-5
3844414298.366,3.00710535049438,6531.80151367187,0.361910759786312,8.50045186460511E-5
3844414303.3885,3.00254154205322,6607.43481445313,0.365932757110654,9.27728987137021E-5
3844414308.466,2.99578893184662,6682.99389648438,0.369972131496006,8.77181308953631E-5
3844414313.3695,2.99855411052704,6757.337890625,0.373692854151688,8.66769060281468E-5
3844414318.359,2.99779331684113,6831.48876953125,0.377691587780644,8.7417107552547E-5
3844414323.3245,3.00119090080261,6906.51928710937,0.381510490278973,8.60239149796584E-5
3844414328.331,3.00057184696198,6981.486328125,0.385509582500493,9.06153907348159E-5
3844414333.3025,2.99390649795532,7055.68041992188,0.389461866071361,8.61716897468422E-5
3844414338.354,3.00104665756226,7132.2587890625,0.393325496838917,8.32331546070042E-5
3844414343.495,3.00895977020264,7208.93188476563,0.39716607624056,8.99206752918777E-5
3844414348.316,2.99797570705414,7280.8994140625,0.401048275332973,8.72241369750473E-5
3844414353.315,2.99521255493164,7355.84375,0.405047061247295,8.80055896760766E-5
3844414358.4035,3.00430130958557,7432.2294921875,0.408727974467332,8.23009757270775E-5
3844414363.3295,3.00419187545776,7505.759765625,0.41260774269758,8.84102106926985E-5
3844414368.391,2.99885988235474,7582.32250976563,0.416470691470844,8.96894829411046E-5
3844414373.2835,2.99892938137054,7655.79443359375,0.420380509874445,8.52886560297009E-5
3844414378.294,3.00140309333801,7730.77465820312,0.424171285915913,8.86008189706279E-5
3844414383.3155,3.0031510591507,7805.81591796875,0.427982594926959,8.61296002598743E-5
3844414388.3395,3.00171041488647,7881.7431640625,0.431877702304136,9.20941683620395E-5
3844414393.456,2.99944400787354,7958.82397460937,0.435693349909508,8.4916856155357E-5
3844414398.324,3.00200951099396,8031.57299804687,0.439502682545732,8.61670209766416E-5
3844414403.2855,2.99823117256165,8105.80444335938,0.443345056486272,8.86431126332521E-5
3844414408.3585,2.99661612510681,8181.56298828125,0.447115212564881,8.61678785309954E-5
3844414413.2575,3.0029331445694,8255.76416015625,0.450982011392727,8.5619260904148E-5
3844414418.3485,3.005375623703,8331.462890625,0.454684497169892,8.66445368103832E-5
3844414423.258,3.00066161155701,8404.98779296875,0.458408174716405,8.46377018681385E-5
3844414428.2715,2.99691545963287,8480.8251953125,0.462143805858314,8.45059025828805E-5
3844414433.308,2.99411630630493,8555.9189453125,0.466031436798167,9.21368073882447E-5
3844414438.279,2.99502098560333,8630.9638671875,0.469811316510525,8.66326624489778E-5
3844414443.3475,3.0002406835556,8706.6875,0.473531513064025,8.19971569116737E-5
3844414448.302,3.00017178058624,8780.97900390625,0.477120203304729,9.05754130273184E-5
3844414453.243,2.99735867977142,8855.236328125,0.481110100349779,9.34180385627649E-5
3844414458.316,2.99123430252075,8931.6494140625,0.484857161146174,8.64210473795721E-5
3844414463.195,2.99409902095795,9004.3828125,0.488631204208866,8.65229435125289E-5
3844414468.218,2.99972856044769,9079.994140625,0.49228014643852,8.58508599333317E-5
3844414473.374,3.00561857223511,9157.099609375,0.495903645929456,8.84189557332702E-5
3844414478.2485,3.00323271751404,9229.6767578125,0.499675753304622,8.63164523610506E-5
3844414483.361,2.99913430213928,9306.23193359375,0.503371646925954,8.64914360884676E-5
3844414488.2405,2.99912703037262,9379.61083984375,0.507059420166656,9.30484913584779E-5
3844414493.2255,2.99817955493927,9454.63330078125,0.510779649177746,8.48900083176346E-5
3844414498.1815,3.00080752372742,9528.91357421875,0.514543513213167,9.54387851033073E-5
3844414503.288,3.00135552883148,9605.470703125,0.518133423068802,8.53424156449103E-5
3844414508.1725,2.99605107307434,9678.951171875,0.521800965275907,8.54372513795614E-5
3844414513.1735,2.9970531463623,9754.07177734375,0.52536192602622,8.04883091218351E-5
3844414518.2385,3.00012767314911,9829.92236328125,0.529100086815678,9.1359606276007E-5
3844414523.3385,2.99629497528076,9906.38720703125,0.53279821484627,8.31651787335329E-5
3844414528.299,3.00291848182678,9980.5263671875,0.536302602450462,8.14364092873519E-5
3844414533.173,2.9994148015976,10054.111328125,0.53995312871329,9.00287594139779E-5
3844414538.1755,2.999387383461,10129.0708007813,0.543734598891288,8.5706473982675E-5
3844414543.211,3.00468349456787,10203.9833984375,0.54735834774557,8.18398204647921E-5
3844414548.182,3.00021386146545,10278.994140625,0.550906946959534,9.64636026482282E-5
3844414553.3255,2.99898374080658,10355.462890625,0.554653730708486,9.27918114850286E-5
3844414558.176,3.00169777870178,10428.7607421875,0.558328914426805,8.37309063879721E-5
3844414563.142,3.00196921825409,10504.3139648438,0.561755001425412,9.66682407698836E-5
3844414568.342,3.00231337547302,10582.251953125,0.565560946885447,9.16280137585128E-5
3844414573.2095,3.00312149524689,10654.86328125,0.569022230375733,8.55539171451061E-5
3844414578.1315,3.00142407417297,10729.1079101562,0.572720066866703,9.33024683913431E-5
3844414583.1195,3.00028836727142,10803.3686523438,0.576301779982551,8.69330129544069E-5
3844414588.1445,3.00091218948364,10879.0229492187,0.579754558119328,8.81920092453639E-5
3844414593.273,2.99952101707458,10956.2109375,0.583318714537544,8.60629408882962E-5
3844414598.147,2.99703097343445,11029.130859375,0.586985325502702,9.59611908169608E-5
3844414603.1045,2.99812352657318,11103.62890625,0.590466312761587,9.08650455110289E-5
3844414608.0905,3.00188052654266,11178.5751953125,0.594056001833172,8.90987940087081E-5
3844414613.1075,2.99780201911926,11253.4633789062,0.597824735744984,9.19983256231011E-5
3844414618.1515,2.99883830547333,11329.1547851562,0.601154164650864,8.63107021874819E-5
3844414623.095,2.99555456638336,11404.1611328125,0.604704487627198,8.72553427394405E-5
3844414628.0815,2.99903559684753,11478.4541015625,0.608279792801389,8.96413528669295E-5
3844414633.0785,3.00085055828094,11553.4794921875,0.611860980327039,9.63032833775025E-5
3844414638.084,3.0023695230484,11628.4086914062,0.615286202974135,8.95170167906497E-5
3844414643.111,3.00295448303223,11703.2817382812,0.618931290199993,9.34961380522184E-5
3844414648.2665,2.99578702449799,11781.1206054687,0.622306233871966,9.0242115857501E-5
3844414653.107,2.99961984157562,11853.0883789062,0.62572910890724,8.88961958062072E-5
3844414658.236,2.99842870235443,11930.2416992187,0.629286713349232,9.63435652615786E-5
3844414663.1765,2.99824500083923,12003.732421875,0.632882194277347,9.08084413583868E-5
3844414668.0895,2.99981868267059,12077.8657226563,0.636410031396251,9.01045294464318E-5
3844414673.1925,2.99687671661377,12155.0834960938,0.63996084065561,8.95755234700214E-5
3844414678.0865,2.99937951564789,12228.5551757813,0.643349690739822,8.69489601073154E-5
3844414683.0565,3.00634098052978,12302.7788085938,0.646882790617312,9.10650353079974E-5
3844414688.0785,3.00208592414856,12378.6748046875,0.650246601879626,9.34970518500763E-5
3844414693.1885,2.99344766139984,12454.5366210938,0.653977886536174,8.67461900480081E-5
3844414698.0495,2.99805128574371,12528.0224609375,0.657299747541618,9.38082015147948E-5
3844414703.0605,2.99855804443359,12602.9921875,0.660656207276908,0.000103211605887185
3844414708.128,2.99883460998535,12678.7006835938,0.664311811615066,8.47561150659781E-5
3844414713.0325,3.002201795578,12752.25390625,0.667570154095215,9.51237923673229E-5
3844414718.03,2.99566066265106,12827.1455078125,0.671241511658242,0.000103152849937292
3844414723.1325,2.99412941932678,12903.5068359375,0.674556629709881,9.01837720510409E-5
3844414728.1885,2.99998378753662,12980.0883789062,0.677864859242296,9.32319680850147E-5
3844414733.2175,3.00234699249268,13055.2387695313,0.68146082372832,0.000101525389996919
3844414738.073,3.00136578083038,13127.9072265625,0.684897123545138,9.9407481253046E-5
3844414743.0415,2.99940979480743,13202.091796875,0.688351266541089,9.5819910675272E-5
3844414748.116,2.99984586238861,13278.560546875,0.691796494277774,0.000104075446570953
3844414753.2265,3.00057733058929,13355.7905273437,0.695115460465403,9.28589400586068E-5
3844414758.0855,2.99929451942444,13427.8349609375,0.698458307319795,8.98215599659406E-5
3844414763.0325,2.99357748031616,13502.8486328125,0.701855144022183,8.95280351184293E-5
